,link,title,year,country,genre,rating,director
0,https://www.ivi.ru//watch/po-lyubvi,По любви,2025,Россия,Комедии,7.7,Борис Милованов
1,https://www.ivi.ru//watch/domovenok-kuzya,Домовёнок Кузя,2024,Россия,Комедии,8.2,Виктор Лакисов
2,https://www.ivi.ru//watch/postuchis-v-moyu-tver,Постучись в мою Тверь,2025,Россия,Комедии,7.9,Симон Багдасарян
3,https://www.ivi.ru//watch/bratya-2024,Братья,2024,Россия,Комедии,6.7,Марк Горобец
4,https://www.ivi.ru//watch/157373,Сдается дом со всеми неудобствами,2016,Россия,Комедии,6.7,Вера Сторожева
5,https://www.ivi.ru//watch/papu-mame-zaverni,Папу маме заверни,2024,Россия,Комедии,7.3,Иван Архипов
6,https://www.ivi.ru//watch/181435,Одноклассницы: Новый поворот,2017,Россия,Комедии,7.2,Дмитрий Суворов
7,https://www.ivi.ru//watch/519572,Праздники,2023,Россия,Комедии,8.0,Борис Дергачев
8,https://www.ivi.ru//watch/540613,Схватка,2024,Россия,Боевики,7.6,Дмитрий Клепацкий
9,https://www.ivi.ru//watch/151070,Проверка на любовь,2013,Россия,Мелодрамы,7.2,Игорь Войтулевич
10,https://www.ivi.ru//watch/krasotka,Красотка,2013,Россия,Мелодрамы,7.4,Дмитрий Петрунь
11,https://www.ivi.ru//watch/zyat,Зять,2024,Россия,Комедии,7.4,Анарио Мамедов
12,https://www.ivi.ru//watch/227695,Спасите Колю!,2021,Россия,Комедии,7.3,Дмитрий Губарев
13,https://www.ivi.ru//watch/ispyitanie-aulom,Испытание аулом,2023,Россия,Комедии,8.6,Ислам Сатыров
14,https://www.ivi.ru//watch/436114,Булки,2022,Россия,Комедии,7.3,Олег Асадулин
15,https://www.ivi.ru//watch/415769,Тень звезды,2020,Россия,Драмы,6.9,Дмитрий Губарев
16,https://www.ivi.ru//watch/470954,Любовники,2022,Россия,Комедии,7.3,Елена Хазанова
17,https://www.ivi.ru//watch/436466,Трое,2020,Россия,Драмы,6.6,Анна Меликян
18,https://www.ivi.ru//watch/400954,Красавец и чудовище,2014,Россия,Мелодрамы,7.7,Иван Криворучко
19,https://www.ivi.ru//watch/459158,Приказ «Уничтожить»,2019,Россия,Военные,7.3,Константин Статский
20,https://www.ivi.ru//watch/414380,"Мама, я женюсь!",2014,Россия,Мелодрамы,6.7,Петр Степин
21,https://www.ivi.ru//watch/133299,Ледокол,2016,Россия,Катастрофы,8.0,Николай Хомерики
22,https://www.ivi.ru//watch/487282,Моя ужасная сестра,2022,Россия,Комедии,7.9,Александр Галибин
23,https://www.ivi.ru//watch/207342,Любовницы,2019,Россия,Комедии,7.2,Елена Хазанова
24,https://www.ivi.ru//watch/467529,Умная Маша,2022,Россия,Комедии,7.3,Андрей Никифоров
25,https://www.ivi.ru//watch/433499,Артек. Большое путешествие,2022,Россия,Комедии,8.5,Карен Захаров
26,https://www.ivi.ru//watch/melodiya-na-dva-golosa,Мелодия на два голоса,2015,Россия,Мелодрамы,7.4,Сергей Мезенцев
27,https://www.ivi.ru//watch/t-34-televersiya,Т-34. Полная версия,2020,Россия,Военные,8.7,Алексей Сидоров
28,https://www.ivi.ru//watch/214951,Бабушка легкого поведения 2,2019,Россия,Комедии,7.9,Марюс Вайсберг
29,https://www.ivi.ru//watch/431605,Прабабушка легкого поведения,2021,Россия,Комедии,7.0,Марюс Вайсберг
30,https://www.ivi.ru//watch/508527,Я хочу! Я буду!,2023,Россия,Комедии,7.5,Павел Воронин
31,https://www.ivi.ru//watch/523161,Моя ужасная сестра 2,2023,Россия,Комедии,7.9,Александр Галибин
32,https://www.ivi.ru//watch/138664,Вечная сказка,2013,Россия,Мелодрамы,7.5,Станислав Либин
33,https://www.ivi.ru//watch/126975,Дорога на Берлин,2015,Россия,Военные,7.4,Сергей Попов
34,https://www.ivi.ru//watch/475772,Друг на продажу,2021,Россия,Комедии,7.6,Александр Данилов
35,https://www.ivi.ru//watch/operatsiya-holodno,Операция «Холодно»,2024,Россия,Комедии,4.7,Данил Иванов
36,https://www.ivi.ru//watch/odna-doma-velikolepnaya-pyaterka,Одна дома: Великолепная пятерка,2024,Россия,Комедии,8.1,Руслан Паушу
