,link,title,year,country,genre,rating,director,director_bio,birthday,death
0,https://www.ivi.ru//watch/po-lyubvi,По любви,2025,Россия,Комедии,7.7,Борис Милованов,"{'id': 5388468, 'name': 'Борис Милованов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/b6b6fb70-549c-43ac-9028-383dae438366/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1987-05-05T00:00:00.000Z', 'death': '', 'age': 37}",1987-05-05,
1,https://www.ivi.ru//watch/domovenok-kuzya,Домовёнок Кузя,2024,Россия,Комедии,8.2,Виктор Лакисов,"{'id': 1204032, 'name': 'Виктор Лакисов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/b284b590-3e92-4445-aecd-762db125897a/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1976-07-23T00:00:00.000Z', 'death': '', 'age': 48}",1976-07-23,
2,https://www.ivi.ru//watch/postuchis-v-moyu-tver,Постучись в мою Тверь,2025,Россия,Комедии,7.9,Симон Багдасарян,"{'id': 6628869, 'name': 'Симон Багдасарян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/15fb8271-4783-4c6c-baab-68a1f5d2dc57/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1990-08-24T00:00:00.000Z', 'death': '', 'age': 34}",1990-08-24,
3,https://www.ivi.ru//watch/bratya-2024,Братья,2024,Россия,Комедии,6.7,Марк Горобец,"{'id': 1818628, 'name': 'Марк Горобец', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/6e400eb3-d7d0-44d4-a112-15084b8a34ed/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1975-05-30T00:00:00.000Z', 'death': '', 'age': 49}",1975-05-30,
4,https://www.ivi.ru//watch/157373,Сдается дом со всеми неудобствами,2016,Россия,Комедии,6.7,Вера Сторожева,"{'id': 231283, 'name': 'Вера Сторожева', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/29d352b6-8437-4971-87ce-c8d923b88ac1/orig', 'sex': 'Женский', 'growth': 0, 'birthday': '1958-09-07T00:00:00.000Z', 'death': '', 'age': 66}",1958-09-07,
5,https://www.ivi.ru//watch/papu-mame-zaverni,Папу маме заверни,2024,Россия,Комедии,7.3,Иван Архипов,"{'id': 5934216, 'name': 'Иван Архипов', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
6,https://www.ivi.ru//watch/181435,Одноклассницы: Новый поворот,2017,Россия,Комедии,7.2,Дмитрий Суворов,"{'id': 290024, 'name': 'Дмитрий Суворов', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '1976-12-22T00:00:00.000Z', 'death': '', 'age': 48}",1976-12-22,
7,https://www.ivi.ru//watch/519572,Праздники,2023,Россия,Комедии,8.0,Борис Дергачев,"{'id': 4306186, 'name': 'Борис Дергачев', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/8a8a476d-cca1-424c-8bc4-1e6fcbeb9e3c/orig', 'sex': 'Мужской', 'growth': 175, 'birthday': '1991-04-13T00:00:00.000Z', 'death': '', 'age': 33}",1991-04-13,
8,https://www.ivi.ru//watch/540613,Схватка,2024,Россия,Боевики,7.6,Дмитрий Клепацкий,"{'id': 1813613, 'name': 'Дмитрий Клепацкий', 'enName': '', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/4483445/ef46c5df-9d48-4aa9-be30-079b98101acf/orig', 'sex': 'Мужской', 'growth': 179, 'birthday': '1972-11-15T00:00:00.000Z', 'death': '', 'age': 52}",1972-11-15,
9,https://www.ivi.ru//watch/151070,Проверка на любовь,2013,Россия,Мелодрамы,7.2,Игорь Войтулевич,"{'id': 2276419, 'name': 'Игорь Войтулевич', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '1958-01-25T00:00:00.000Z', 'death': '2018-08-22T00:00:00.000Z', 'age': 60}",1958-01-25,2018-08-22
